"Story","Title","Result","Date","Stability","Duration (s)"
"Die Features","Retrieve die value as JSON","SUCCESS","2024-10-10T22:05:07.728963+01:00[Europe/London]","0.0","0.03"
"Die Features","Retrieve die value as Float","SUCCESS","2024-10-10T22:05:07.767038+01:00[Europe/London]","0.0","0.04"
"Die Features","Retrieve die value as Word","SUCCESS","2024-10-10T22:05:07.8121462+01:00[Europe/London]","0.0","0.03"
"Die Features","Retrieve die value as Dots","SUCCESS","2024-10-10T22:05:07.8513077+01:00[Europe/London]","0.0","0.03"
"Die Features","Retrieve die value as Integer ","SUCCESS","2024-10-10T22:05:07.8879913+01:00[Europe/London]","0.0","0.02"
"Die Features","Retrieve die value with invalid Accept header","SUCCESS","2024-10-10T22:05:07.9156819+01:00[Europe/London]","0.0","0.03"
"Die Features","Successfully set die value","SUCCESS","2024-10-10T22:05:07.94949+01:00[Europe/London]","0.0","0.02"
"Die Features","Fail to set die value due to invalid authorization","SUCCESS","2024-10-10T22:05:07.9729301+01:00[Europe/London]","0.0","0.02"
"Die Features","Fail to set die value due to invalid die ID","SUCCESS","2024-10-10T22:05:07.9979378+01:00[Europe/London]","0.0","0.03"
"Die Features","Fail to set die value due to invalid die value","SUCCESS","2024-10-10T22:05:08.0349714+01:00[Europe/London]","0.0","0.04"
"Die Features","Fail to set die value due to invalid request body","SUCCESS","2024-10-10T22:05:08.0763296+01:00[Europe/London]","0.0","0.03"
"Die Features","Successfully roll a die","SUCCESS","2024-10-10T22:05:08.1124991+01:00[Europe/London]","0.0","0.04"
"Die Features","Fail to roll a die due to an invalid die ID","SUCCESS","2024-10-10T22:05:08.1617799+01:00[Europe/London]","0.0","0.03"
